task_idx,metric,value
0,A_t,0.9390000000000001
0,AIA,0.9390000000000001
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.8994285714285712
1,AIA,0.9192142857142857
1,BWT,-0.023000000000000242
1,Forgetting,0.023000000000000242
1,FWT,0.9390000000000001
1,RAG_mean,-0.01666666666666668
1,Repetition_Gain,0.06714285714285706
2,A_t,0.8759841269841271
2,AIA,0.9048042328042328
2,BWT,-0.03409523809523807
2,Forgetting,0.03409523809523807
2,FWT,0.9109285714285714
2,RAG_mean,-0.01666666666666668
2,Repetition_Gain,nan
3,A_t,0.8640178571428572
3,AIA,0.894607638888889
3,BWT,-0.041928571428571426
3,Forgetting,0.041928571428571426
3,FWT,0.8987142857142857
3,RAG_mean,-0.01666666666666668
3,Repetition_Gain,nan
4,A_t,0.8381714285714287
4,AIA,0.8833203968253969
4,BWT,-0.04489285714285704
4,Forgetting,0.04489285714285704
4,FWT,0.8954642857142857
4,RAG_mean,-0.01666666666666668
4,Repetition_Gain,nan
5,A_t,0.8258253968253967
5,AIA,0.8737378968253968
5,BWT,-0.04880952380952379
5,Forgetting,0.04880952380952379
5,FWT,0.8740857142857144
5,RAG_mean,-0.01666666666666668
5,Repetition_Gain,nan
6,A_t,0.809469387755102
6,AIA,0.8645566812439262
6,BWT,-0.06521428571428568
6,Forgetting,0.06521428571428568
6,FWT,0.8664999999999999
6,RAG_mean,-0.01666666666666668
6,Repetition_Gain,nan
7,A_t,0.7950714285714285
7,AIA,0.8558710246598639
7,BWT,-0.06712244897959185
7,Forgetting,0.06712244897959185
7,FWT,0.8653673469387755
7,RAG_mean,-0.01666666666666668
7,Repetition_Gain,nan
8,A_t,0.787694885361552
8,AIA,0.8482958980711626
8,BWT,-0.06889682539682544
8,Forgetting,0.06889682539682544
8,FWT,0.8538035714285714
8,RAG_mean,-0.01666666666666668
8,Repetition_Gain,nan
9,A_t,0.7878714285714286
9,AIA,0.8422534511211891
9,BWT,-0.06701587301587301
9,Forgetting,0.06701587301587301
9,FWT,0.8489365079365079
9,RAG_mean,-0.01666666666666668
9,Repetition_Gain,nan
9,Anchor_Retention,0.82
9,Long_Range_Retention,0.793
