task_idx,metric,value
0,A_t,0.9289999999999999
0,AIA,0.9289999999999999
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.887
1,AIA,0.9079999999999999
1,BWT,-0.03299999999999981
1,Forgetting,0.03299999999999981
1,FWT,0.9289999999999999
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.8730000000000001
2,AIA,0.8963333333333333
2,BWT,-0.03899999999999987
2,Forgetting,0.03899999999999987
2,FWT,0.9035
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.8380000000000001
3,AIA,0.88175
3,BWT,-0.045999999999999965
3,Forgetting,0.045999999999999965
3,FWT,0.899
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.8152000000000001
4,AIA,0.86844
4,BWT,-0.0655
4,Forgetting,0.0655
4,FWT,0.8725
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.7931666666666667
5,AIA,0.8558944444444445
5,BWT,-0.06920000000000001
5,Forgetting,0.06920000000000001
5,FWT,0.8676
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.7905714285714287
6,AIA,0.8465625850340137
6,BWT,-0.06816666666666671
6,Forgetting,0.06816666666666671
6,FWT,0.8508333333333334
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.769125
7,AIA,0.836882886904762
7,BWT,-0.0734285714285715
7,Forgetting,0.0734285714285715
7,FWT,0.8490000000000001
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.7576666666666667
8,AIA,0.8280810846560848
8,BWT,-0.07725000000000005
8,Forgetting,0.07725000000000005
8,FWT,0.8333750000000001
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.7523000000000002
9,AIA,0.8205029761904763
9,BWT,-0.07866666666666669
9,Forgetting,0.07866666666666669
9,FWT,0.8263333333333335
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.7549999999999999
