task_idx,metric,value
0,A_t,0.933
0,AIA,0.933
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.8885000000000001
1,AIA,0.9107500000000001
1,BWT,-0.03300000000000003
1,Forgetting,0.03300000000000003
1,FWT,0.933
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.874
2,AIA,0.8985
2,BWT,-0.04049999999999998
2,Forgetting,0.04049999999999998
2,FWT,0.905
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.8402499999999999
3,AIA,0.8839375
3,BWT,-0.04733333333333334
3,Forgetting,0.04733333333333334
3,FWT,0.9010000000000001
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.8183999999999999
4,AIA,0.87083
4,BWT,-0.06524999999999997
4,Forgetting,0.06524999999999997
4,FWT,0.87575
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.7948333333333334
5,AIA,0.8581638888888888
5,BWT,-0.06980000000000006
5,Forgetting,0.06980000000000006
5,FWT,0.8705999999999999
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.7921428571428573
6,AIA,0.84873231292517
6,BWT,-0.06900000000000002
6,Forgetting,0.06900000000000002
6,FWT,0.8530000000000001
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.771875
7,AIA,0.8391251488095238
7,BWT,-0.07271428571428573
7,Forgetting,0.07271428571428573
7,FWT,0.8512857142857143
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.7601111111111112
8,AIA,0.830345811287478
8,BWT,-0.07762500000000006
8,Forgetting,0.07762500000000006
8,FWT,0.8355
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.7594857142857143
9,AIA,0.8232598015873016
9,BWT,-0.07555555555555561
9,Forgetting,0.07555555555555561
9,FWT,0.8291111111111111
9,RAG_mean,-0.12333333333333334
9,Repetition_Gain,0.010476190476190417
9,Anchor_Retention,nan
9,Long_Range_Retention,0.76
