task_idx,metric,value
0,A_t,0.932
0,AIA,0.932
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.8885
1,AIA,0.91025
1,BWT,-0.03300000000000003
1,Forgetting,0.03300000000000003
1,FWT,0.932
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.8743333333333334
2,AIA,0.8982777777777778
2,BWT,-0.038999999999999924
2,Forgetting,0.038999999999999924
2,FWT,0.905
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.8385
3,AIA,0.8833333333333333
3,BWT,-0.046666666666666634
3,Forgetting,0.046666666666666634
3,FWT,0.9003333333333333
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.8156000000000001
4,AIA,0.8697866666666666
4,BWT,-0.06624999999999995
4,Forgetting,0.06624999999999995
4,FWT,0.8735
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.7933333333333333
5,AIA,0.8570444444444444
5,BWT,-0.0698
5,Forgetting,0.0698
5,FWT,0.8686
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.7907142857142856
6,AIA,0.8475687074829931
6,BWT,-0.06866666666666665
6,Forgetting,0.06866666666666665
6,FWT,0.8515
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.76925
7,AIA,0.837778869047619
7,BWT,-0.07385714285714289
7,Forgetting,0.07385714285714289
7,FWT,0.8495714285714285
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.757888888888889
8,AIA,0.8289022045855379
8,BWT,-0.077625
8,Forgetting,0.077625
8,FWT,0.833875
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.6826000000000001
9,AIA,0.8142719841269841
9,BWT,-0.11055555555555556
9,Forgetting,0.11055555555555556
9,FWT,0.8268888888888889
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.394
