task_idx,metric,value
0,A_t,0.9339999999999998
0,AIA,0.9339999999999998
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.894
1,AIA,0.9139999999999999
1,BWT,-0.02399999999999991
1,Forgetting,0.02399999999999991
1,FWT,0.9339999999999998
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.8753333333333334
2,AIA,0.9011111111111111
2,BWT,-0.039999999999999925
2,Forgetting,0.039999999999999925
2,FWT,0.9059999999999999
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.8419999999999999
3,AIA,0.8863333333333332
3,BWT,-0.045000000000000075
3,Forgetting,0.045000000000000075
3,FWT,0.902
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.8194000000000001
4,AIA,0.8729466666666665
4,BWT,-0.06474999999999995
4,Forgetting,0.06474999999999995
4,FWT,0.87575
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.7956666666666665
5,AIA,0.8600666666666665
5,BWT,-0.07040000000000005
5,Forgetting,0.07040000000000005
5,FWT,0.8712
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.793
6,AIA,0.8504857142857142
6,BWT,-0.06916666666666665
6,Forgetting,0.06916666666666665
6,FWT,0.8543333333333333
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.772625
7,AIA,0.840753125
7,BWT,-0.07314285714285718
7,Forgetting,0.07314285714285718
7,FWT,0.8522857142857142
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.7605555555555555
8,AIA,0.8318422839506172
8,BWT,-0.07775000000000007
8,Forgetting,0.07775000000000007
8,FWT,0.8366250000000001
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.6857
9,AIA,0.8172280555555556
9,BWT,-0.10933333333333335
9,Forgetting,0.10933333333333335
9,FWT,0.8296666666666668
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.43
