task_idx,metric,value
0,A_t,0.931
0,AIA,0.931
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.8879999999999999
1,AIA,0.9095
1,BWT,-0.03300000000000003
1,Forgetting,0.03300000000000003
1,FWT,0.931
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.8723333333333333
2,AIA,0.8971111111111111
2,BWT,-0.040999999999999814
2,Forgetting,0.040999999999999814
2,FWT,0.9045
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.83825
3,AIA,0.8823958333333333
3,BWT,-0.046666666666666634
3,Forgetting,0.046666666666666634
3,FWT,0.8996666666666666
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.8213999999999999
4,AIA,0.8701966666666665
4,BWT,-0.06249999999999997
4,Forgetting,0.06249999999999997
4,FWT,0.87325
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.7981666666666668
5,AIA,0.8581916666666666
5,BWT,-0.0683999999999999
5,Forgetting,0.0683999999999999
5,FWT,0.8714000000000001
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.7947142857142857
6,AIA,0.8491234693877551
6,BWT,-0.06799999999999999
6,Forgetting,0.06799999999999999
6,FWT,0.8551666666666667
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.773625
7,AIA,0.8396861607142857
7,BWT,-0.07328571428571429
7,Forgetting,0.07328571428571429
7,FWT,0.853
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.7612222222222221
8,AIA,0.8309679453262786
8,BWT,-0.07800000000000007
8,Forgetting,0.07800000000000007
8,FWT,0.83775
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.6874
9,AIA,0.8166111507936508
9,BWT,-0.11722222222222227
9,Forgetting,0.11722222222222227
9,FWT,0.8305555555555555
9,RAG_mean,nan
9,Repetition_Gain,nan
9,Anchor_Retention,nan
9,Long_Range_Retention,0.392
