task_idx,metric,value
0,A_t,0.9129999999999999
0,AIA,0.9129999999999999
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.8779999999999999
1,AIA,0.8955
1,BWT,-0.03400000000000003
1,Forgetting,0.03400000000000003
1,FWT,0.9129999999999999
1,RAG_mean,nan
1,Repetition_Gain,nan
2,A_t,0.8663333333333333
2,AIA,0.8857777777777778
2,BWT,-0.03999999999999998
2,Forgetting,0.03999999999999998
2,FWT,0.895
2,RAG_mean,nan
2,Repetition_Gain,nan
3,A_t,0.83525
3,AIA,0.8731458333333333
3,BWT,-0.045333333333333226
3,Forgetting,0.045333333333333226
3,FWT,0.8929999999999999
3,RAG_mean,nan
3,Repetition_Gain,nan
4,A_t,0.8123999999999999
4,AIA,0.8609966666666666
4,BWT,-0.067
4,Forgetting,0.067
4,FWT,0.86925
4,RAG_mean,nan
4,Repetition_Gain,nan
5,A_t,0.7915
5,AIA,0.8494138888888889
5,BWT,-0.06939999999999999
5,Forgetting,0.06939999999999999
5,FWT,0.866
5,RAG_mean,nan
5,Repetition_Gain,nan
6,A_t,0.7895714285714286
6,AIA,0.8408649659863946
6,BWT,-0.0686666666666667
6,Forgetting,0.0686666666666667
6,FWT,0.8493333333333334
6,RAG_mean,nan
6,Repetition_Gain,nan
7,A_t,0.7693749999999999
7,AIA,0.8319287202380952
7,BWT,-0.07314285714285715
7,Forgetting,0.07314285714285715
7,FWT,0.8484285714285714
7,RAG_mean,nan
7,Repetition_Gain,nan
8,A_t,0.7580000000000001
8,AIA,0.8237144179894179
8,BWT,-0.076875
8,Forgetting,0.076875
8,FWT,0.833375
8,RAG_mean,nan
8,Repetition_Gain,nan
9,A_t,0.724
9,AIA,0.8137429761904761
9,BWT,-0.09500000000000001
9,Forgetting,0.09500000000000001
9,FWT,0.8263333333333334
9,RAG_mean,nan
9,Repetition_Gain,-0.3640000000000001
9,Anchor_Retention,nan
9,Long_Range_Retention,0.368
