task_idx,metric,value
0,A_t,0.21799999999999997
0,AIA,0.21799999999999997
0,BWT,nan
0,Forgetting,nan
0,FWT,nan
0,RAG_mean,nan
0,Repetition_Gain,nan
1,A_t,0.13807142857142857
1,AIA,0.17803571428571427
1,BWT,-0.07899999999999996
1,Forgetting,0.07899999999999996
1,FWT,0.21799999999999997
1,RAG_mean,-0.11666666666666665
1,Repetition_Gain,-0.12047619047619049
2,A_t,0.10685714285714286
2,AIA,0.1543095238095238
2,BWT,-0.07299999999999998
2,Forgetting,0.07299999999999998
2,FWT,0.17757142857142855
2,RAG_mean,-0.11666666666666665
2,Repetition_Gain,nan
3,A_t,0.09644642857142857
3,AIA,0.13984375
3,BWT,-0.0716904761904762
3,Forgetting,0.0716904761904762
3,FWT,0.1555238095238095
3,RAG_mean,-0.11666666666666665
3,Repetition_Gain,nan
4,A_t,0.0853142857142857
4,AIA,0.12893785714285713
4,BWT,-0.058571428571428566
4,Forgetting,0.058571428571428566
4,FWT,0.1502142857142857
4,RAG_mean,-0.11666666666666665
4,Repetition_Gain,nan
5,A_t,0.0797936507936508
5,AIA,0.12074715608465607
5,BWT,-0.05641904761904761
5,Forgetting,0.05641904761904761
5,FWT,0.13217142857142855
5,RAG_mean,-0.11666666666666665
5,Repetition_Gain,nan
6,A_t,0.07193877551020408
6,AIA,0.11377453028830578
6,BWT,-0.07859523809523809
6,Forgetting,0.07859523809523809
6,FWT,0.1268095238095238
6,RAG_mean,-0.11666666666666665
6,Repetition_Gain,nan
7,A_t,0.06223660714285714
7,AIA,0.10733228989512471
7,BWT,-0.0704234693877551
7,Forgetting,0.0704234693877551
7,FWT,0.13930612244897958
7,RAG_mean,-0.11666666666666665
7,Repetition_Gain,nan
8,A_t,0.0565220458553792
8,AIA,0.10168670722404188
8,BWT,-0.06455555555555555
8,Forgetting,0.06455555555555555
8,FWT,0.12385714285714285
8,RAG_mean,-0.11666666666666665
8,Repetition_Gain,nan
9,A_t,0.0514
9,AIA,0.09665803650163769
9,BWT,-0.06187301587301587
9,Forgetting,0.06187301587301587
9,FWT,0.1139047619047619
9,RAG_mean,-0.11666666666666665
9,Repetition_Gain,nan
9,Anchor_Retention,0.04
9,Long_Range_Retention,0.033999999999999996
